Date,Inflation
2023-01-01,139.73579356326
2022-01-01,134.21120616846
2021-01-01,124.266413825838
2020-01-01,118.690501577198
2019-01-01,117.244195476228
2018-01-01,115.157303224791
2017-01-01,112.411557302308
2016-01-01,110.06700893427
2015-01-01,108.695721960694
2014-01-01,108.566932118964
2013-01-01,106.833848874866
2012-01-01,105.291504532867
2011-01-01,103.156841568622
2010-01-01,100.0
2009-01-01,98.3864199710624
2008-01-01,98.7374773853445
2007-01-01,95.0869923788515
2006-01-01,92.4497050827274
2005-01-01,89.5605323721102
2004-01-01,86.6216781201727
2003-01-01,84.3630788186188
2002-01-01,82.490466876552
2001-01-01,81.2025684592531
2000-01-01,78.9707207568715
1999-01-01,76.391102265249
1998-01-01,74.755433058709
1997-01-01,73.6127576083459
1996-01-01,71.9312285175105
1995-01-01,69.8828203523109
1994-01-01,67.9758134970225
1993-01-01,66.2484245218916
1992-01-01,64.3490609806525
1991-01-01,62.4573407534626
1990-01-01,59.919760489111
1989-01-01,56.8509698983363
1988-01-01,54.2331348364675
1987-01-01,52.1082935307754
1986-01-01,50.2662548449057
1985-01-01,49.3299488738723
1984-01-01,47.6407764689877
1983-01-01,45.6764447583299
1982-01-01,44.254788345169
1981-01-01,41.6980997956942
1980-01-01,37.7923663165264
1979-01-01,33.2828110274678
1978-01-01,29.9159311887723
1977-01-01,27.7949115401048
1976-01-01,26.0980958211709
1975-01-01,24.6802610650347
1974-01-01,22.612744614712
